2025-07-14 15:48:14 | INFO     | natal_mobile_auto.conftest:pytest_runtest_setup:99 - Starting test: test_NAF_4_10_0_mark_step_as_complete
2025-07-14 15:48:14 | INFO     | natal_mobile_auto.conftest:setup_and_teardown_test:60 - Setting up test function
2025-07-14 15:48:14 | INFO     | core.driver_manager:restart_app:103 - App restarted successfully
2025-07-14 15:48:14 | INFO     | natal_mobile_auto.tests.test_4_Program_Management:setup_and_teardown:21 - App restarted successfully
2025-07-14 15:48:21 | INFO     | pages.program_list_page:wait_for_programs_page:34 - Programs page loaded successfully (found 'people joined' text)
2025-07-14 15:48:23 | INFO     | pages.program_list_page:get_program_cards:67 - Found 1 program cards (each with 'people joined' text)
2025-07-14 15:48:23 | INFO     | pages.program_list_page:click_program_card:80 - Clicked program card at index 0
2025-07-14 15:48:28 | INFO     | core.base_page:click_element:87 - Clicked element: id=android:id/button1
2025-07-14 15:48:28 | INFO     | pages.program_detail_page:error_getting_offers_tip:199 - Clicked the error getting offers tips ok button, should not happen in real phone
2025-07-14 15:48:46 | INFO     | core.base_page:click_element:87 - Clicked element: xpath=//*[contains(@text, 'Video 1')]
2025-07-14 15:48:46 | INFO     | pages.program_detail_page:click_day_1:223 - Successfully clicked Day 1 video directly
2025-07-14 15:48:51 | INFO     | core.base_page:click_element:87 - Clicked element: id=android:id/button1
2025-07-14 15:48:51 | INFO     | pages.program_detail_page:error_getting_offers_tip:199 - Clicked the error getting offers tips ok button, should not happen in real phone
2025-07-14 15:48:55 | INFO     | core.base_page:click_element:87 - Clicked element: xpath=//*[contains(@text, 'Mark as complete')]
2025-07-14 15:49:00 | INFO     | core.base_page:click_element:87 - Clicked element: xpath=//*[contains(@text, 'Back Home')]
2025-07-14 15:49:02 | INFO     | pages.program_list_page:get_program_cards:67 - Found 1 program cards (each with 'people joined' text)
2025-07-14 15:49:02 | INFO     | pages.program_list_page:click_program_card:80 - Clicked program card at index 0
2025-07-14 15:49:06 | INFO     | core.base_page:click_element:87 - Clicked element: id=android:id/button1
2025-07-14 15:49:06 | INFO     | pages.program_detail_page:error_getting_offers_tip:199 - Clicked the error getting offers tips ok button, should not happen in real phone
2025-07-14 15:49:07 | INFO     | natal_mobile_auto.tests.test_4_Program_Management:test_NAF_4_10_0_mark_step_as_complete:264 - NAF-133: Mark step as complete flow passed!
2025-07-14 15:49:07 | INFO     | natal_mobile_auto.conftest:pytest_runtest_teardown:104 - Completed test: test_NAF_4_10_0_mark_step_as_complete
2025-07-14 15:49:08 | INFO     | core.driver_manager:restart_app:103 - App restarted successfully
2025-07-14 15:49:08 | INFO     | natal_mobile_auto.tests.test_4_Program_Management:setup_and_teardown:33 - App restarted after test completion
2025-07-14 15:49:08 | INFO     | natal_mobile_auto.conftest:setup_and_teardown_test:64 - Tearing down test function
2025-07-14 15:49:08 | INFO     | natal_mobile_auto.conftest:setup_test_session:54 - Test session teardown
