"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test Case 208: Verify notification status persists after page reload.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a notification as read/unread
5. Reload the page
6. Verify notification moved to correct tab
7. Verify status persists after reload
","11328","test_CMS_208_Notification_Status_After_Page_Reload","tests","Fri Jul 25 19:53:52 CST 2025","passed","Fri Jul 25 19:54:04 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-272
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify adding a comment to a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find a post with comments
    4. Click on comment button
    5. Add a new comment
    6. Verify comment is added successfully
    
    Expected Result: User should be able to add comments to posts
    ","22073","test_NAF_14_4_0_verify_adding_comment_to_post","tests.android","Fri Jul 25 21:17:33 CST 2025","passed","Fri Jul 25 21:17:55 CST 2025","TestCommunityManagement","test_14_Community","",""
"
    Test Case: NAF-20
    As a user, I want to log out and log back in
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    ","64195","test_NAF_2_5_0_logout_and_relogin","tests.android","Fri Jul 25 20:53:16 CST 2025","passed","Fri Jul 25 20:54:21 CST 2025","TestAuthentication","test_2_Authentication","",""
"
Test Case 201: Verify the ""Mark as read"" button functionality.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark the first notification as read
5. Verify notification status changes
","5639","test_CMS_201_Mark_First_Notification_As_Read","tests","Fri Jul 25 19:53:21 CST 2025","passed","Fri Jul 25 19:53:26 CST 2025","","test_11_CMS_Notifications","",""
"
Test Case 207: Verify marking a single notification as read and unread.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Mark a single notification as read
5. Mark the same notification as unread
6. Verify status changes correctly
","5354","test_CMS_207_Mark_Single_Notification_As_Read_Unread","tests","Fri Jul 25 19:53:47 CST 2025","passed","Fri Jul 25 19:53:52 CST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-73 - NAF 81, random stage change
    As a registered user I can edit my current stage
    Scenario: Change Stage
    
    Steps:
    1. Open the app, assume the user is logged in   
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Stage"" button
    5. Click on ""Change"" button
    6. Verify stage is changed
    ","50151","test_NAF_3_7_0_change_stage","tests.android","Fri Jul 25 21:02:09 CST 2025","passed","Fri Jul 25 21:02:59 CST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    ","24492","test_NAF_2_2_0_login_with_wrong_password","tests.android","Fri Jul 25 20:51:01 CST 2025","passed","Fri Jul 25 20:51:26 CST 2025","TestAuthentication","test_2_Authentication","",""
"
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
","3617","test_NAF_9_1_0_Navigate_To_Programs_Section","tests","Fri Jul 25 19:51:57 CST 2025","passed","Fri Jul 25 19:52:00 CST 2025","","test_9_Programs_Management","",""
"
Test that an admin user can select a video and update its details.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Select the uploaded video
6. Update video details
7. Verify changes are saved successfully
","16412","test_NAF_8_8_0_Update_Video_Details","tests","Fri Jul 25 19:50:31 CST 2025","passed","Fri Jul 25 19:50:47 CST 2025","","test_8_CMS_Video_Management","",""
"
Test Case 213: Verify ability to delete notification from 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Delete notification from 3 dots menu
7. Verify notification is deleted successfully
","5848","test_CMS_213_Delete_From_Three_Dots_Menu","tests","Fri Jul 25 19:54:42 CST 2025","passed","Fri Jul 25 19:54:48 CST 2025","","test_11_CMS_Notifications","",""
