"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Mobile App Testing-iOS","0","14.0.0 Community","4","0","14.2.0 As a user I want to create text or text + image posts to share with the community","0"
"0","Web CMS Testing","0","8.0.0 CMS Video Management","1","0","8.8.0 Update Video Details","0"
"0","Mobile App Testing-iOS","0","16.0.0 Notification","2","0","16.2.0 As a user, I want an in-app notifications page, so that I can view all my missed notifications in one place, even if I missed the initial push notification.","0"
"0","Web CMS Testing","0","7.0.0 CMS Authentication","1","0","7.2.0 User with the admin role, can login to content management platform with the same credentials as for the mob app","0"
"0","Web CMS Testing","0","12.0.0 CMS Communities","1","0","12.2.0 Create Post in Community","0"
"0","Web CMS Testing","0","12.0.0 CMS Communities","1","0","12.4.0 Delete/Edit Posts and Comments","0"
"0","Web CMS Testing","0","9.0.0 Programs Management","1","0","9.3.0 Search Programs","0"
"0","Web CMS Testing","0","12.0.0 CMS Communities","1","0","12.1.0 View All Communities","0"
"0","Mobile App Testing-Android","0","3.0.0 Account Setup","1","0","3.2.0 As a registered user I can view and update my bio","0"
"0","Web CMS Testing","0","11.0.0 CMS Notifications","1","0","11.14.0 Delete From Comment Thread","0"
"0","Web CMS Testing","0","9.0.0 Programs Management","1","0","9.1.0 Navigate to Programs Section","0"
"0","Mobile App Testing-Android","0","16.0.0 Notification","3","0","16.2.0 As a user, I want an in-app notifications page, so that I can view all my missed notifications in one place, even if I missed the initial push notification.","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","2","0","2.5.0 As a user, I want to be able to log out from the app","0"
"0","Web CMS Testing","0","7.0.0 CMS Authentication","1","0","7.3.0 User with the admin role, can log out from the CMS","0"
"0","Web CMS Testing","0","12.0.0 CMS Communities","1","0","12.6.0 Pin/Unpin Community Posts","0"
"0","Mobile App Testing-iOS","0","3.0.0 Account Setup","1","0","3.2.0 As a registered user I can view and update my bio","0"
"0","Mobile App Testing-Android","0","2.0.0 Authentication","1","0","2.4.0 As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently","0"
