"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test that an admin user can navigate to the program section of the app through the side menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Programs section via side menu
4. Verify successful navigation to programs section
","2126","test_NAF_9_1_0_Navigate_To_Programs_Section","tests.web","Fri Sep 12 17:48:28 JST 2025","passed","Fri Sep 12 17:48:30 JST 2025","","test_9_Programs_Management","",""
"
Test that an admin user can delete a video using the 3 dots menu.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Video section
4. Upload a new video with random title
5. Delete the video using 3 dots menu
6. Verify video is successfully deleted
","23402","test_NAF_8_10_0_Delete_Video","tests.web","Fri Sep 12 17:47:36 JST 2025","passed","Fri Sep 12 17:47:59 JST 2025","","test_8_CMS_Video_Management","",""
"
Test Case 224: Verify Community Groups Visibility in CMS

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Verify visibility of all community groups
5. Check each community individually (Pregnant, Trying to Conceive, Postpartum)
","7543","test_12_1_0_View_All_Communities","tests.web","Fri Sep 12 17:50:57 JST 2025","passed","Fri Sep 12 17:51:05 JST 2025","","test_12_CMS_Communities","",""
"
    Test Case: NAF-19
    As a user, I want to stay logged in for as long as possible, so that I don't have to log in frequently
    Scenario: Stay Logged In (Quick Test - 30 seconds)
    
    Steps:
    1. Open the app, user is already logged in
    2. Close the app, wait for 30 seconds
    3. Open the app, User is still logged in and is redirected to the Home page
    ","35916","test_NAF_2_4_0_stay_logged_in_quick","tests.android","Fri Sep 12 17:55:20 JST 2025","passed","Fri Sep 12 17:55:56 JST 2025","TestAuthentication","test_2_Authentication","",""
"
    Test Case: NAF-40
    As a registered user I can view and update profile image
    Scenario: Edit Profile Picture
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Take a picture"" button (might not stable on simulator)
    5. Select a photo from the device
    
    Note: This test is skipped because camera functionality is not supported in the current simulator
    ","5004","test_NAF_3_3_0_edit_profile_picture","tests.ios","Fri Sep 12 18:19:03 JST 2025","passed","Fri Sep 12 18:19:08 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-14
    As a user, I want to log in with my email and password
    Scenario: Login Unsuccessful due to Incorrect Password
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email: qingqin@topflightapps.com
    5. Enter incorrect password: Aa1234567
    6. Click ""Log in"" button
    7. Verify error message appears
    
    Expected Result: Error message ""The password you entered is incorrect"" should be displayed
    ","38420","test_NAF_2_2_0_login_with_wrong_password","tests.ios","Fri Sep 12 18:15:58 JST 2025","passed","Fri Sep 12 18:16:36 JST 2025","TestAuthentication","test_2_Authentication","",""
"
Test Case 210: Verify ability to reply to a comment from notification.

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Notifications page
4. Check for unread notifications
5. If no unread notifications, switch to Read tab
6. Click on the first notification entry
7. Reply to the selected comment
8. Verify reply functionality works correctly
","13257","test_CMS_11_10_0_Reply_To_Comment","tests.web","Fri Sep 12 17:50:11 JST 2025","passed","Fri Sep 12 17:50:24 JST 2025","","test_11_CMS_Notifications","",""
"
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    ","1001","test_NAF_3_2_0_update_bio","tests.ios","Fri Sep 12 18:18:52 JST 2025","passed","Fri Sep 12 18:18:53 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
    Test Case: NAF-73 - NAF 81, random stage change
    As a registered user I can edit my current stage
    Scenario: Change Stage
    
    Steps:
    1. Open the app, assume the user is logged in   
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Click on ""Stage"" button
    5. Click on ""Change"" button
    6. Verify stage is changed
    ","0","test_NAF_3_7_0_change_stage","tests.ios","Fri Sep 12 18:19:19 JST 2025","passed","Fri Sep 12 18:19:19 JST 2025","TestPersonInformationManagement","test_3_Account_Setup","",""
"
Test Case 238: Verify Admin/Coach Can Edit Own Post
Test Case 239: Verify Admin/Coach Can Delete Own Post
Test Case 242: Verify Admin/Coach Can Edit Own Reply
Test Case 243: Verify Admin/Coach Can Delete Own Reply

Test Steps:
1. Launch the browser
2. Login as admin user
3. Navigate to Postpartum community page
4. Create a new post with image
5. Publish the post and verify creation
6. Edit the post with new content
7. Add a comment to the post
8. Delete the comment
9. Delete the post
","32132","test_12_4_0_delete_edit_own_and_others_post","tests.web","Fri Sep 12 17:51:46 JST 2025","passed","Fri Sep 12 17:52:18 JST 2025","","test_12_CMS_Communities","",""
