"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 21:06:23 UTC 2025","Wed Oct 22 21:07:48 UTC 2025","84930","tests.android","test_4_Program_Management","TestProgramManagement","","","test_NAF_4_5_0_start_a_program","
    Test Case: NAF-98, NAF-99, NAF-105
    As a user I can enroll/unenroll any of the programs
    Scenario: Start a program
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Click on a program card
    4. If not enrolled, enroll first
    5. Click 'Start Program' button
    6. Verify 'Day 1 complete!' popup is displayed
    7. Click 'Back Home' button
    "
"passed","Wed Oct 22 20:52:43 UTC 2025","Wed Oct 22 20:53:06 UTC 2025","22961","tests.android","test_2_Authentication_logout","TestLogout","","","test_logout_returns_to_welcome_page","
    Test Case: NAF-433
    As a user, I want to be able to log out from the app
    Scenario: Logout
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    
    Expected Result: User should be successfully logged out and redirected to the welcome page
    "
"passed","Wed Oct 22 21:18:01 UTC 2025","Wed Oct 22 21:18:04 UTC 2025","3802","tests.android","test_14_Community","TestCommunityManagement","","","test_NAF_14_4_0_verify_liking_post","
    Test Case: NAF-271
    As a user, I want to interact with post: ""Like"" post, leave comments
    Scenario: Verify liking a post
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""Community"" tab
    3. Find the first like button
    4. Record current like count
    5. Click like button
    6. Verify like count changes as expected
    
    Expected Result: User should be able to like posts and see like count change
    "
"passed","Wed Oct 22 21:05:16 UTC 2025","Wed Oct 22 21:06:20 UTC 2025","63505","tests.android","test_4_Program_Management","TestProgramManagement","","","test_NAF_4_3_0_view_recommended_programs","
    Test Case: NAF-93, NAF-96, NAF-97
    As a user on the home page I should be able to see the list of recommended programs
    Scenario: View list of recommended programs
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to the Programs tab
    3. Verify the list of recommended programs is displayed
    4. Click on a program card
    5. Verify program detail page is displayed
    6. Verify program card information is displayed
    7. Verify program detail page is displayed
    "
"passed","Wed Oct 22 21:14:19 UTC 2025","Wed Oct 22 21:14:48 UTC 2025","28707","tests.android","test_sucessful_login","TestAuthentication","","","test_NAF_2_2_0_successful_login","
    Test Case: NAF-12
    As a user, I want to log in with my email and password
    Scenario: Successful Login
    
    Steps:
    1. Open the app
    2. Click on ""Log in"" button
    3. Click on ""Sign in with your email"" button
    4. Enter valid email and password
    5. Click ""Log in"" button
    6. Verify successful login
    
    Expected Result: User should be successfully logged in and redirected to the main app
    "
"passed","Wed Oct 22 20:50:28 UTC 2025","Wed Oct 22 20:51:31 UTC 2025","62690","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_5_0_logout_and_relogin","
    Test Case: NAF-20
    As a user, I want to log out and log back in
    Scenario: Logout and Relogin
    
    Steps:
    1. Open the app
    2. Go to ""My Profile"" button
    3. Click on ""Log out"" button
    4. Verify successful logout
    5. Click on ""Log in"" button
    6. Verify successful login
    "
"passed","Wed Oct 22 20:56:01 UTC 2025","Wed Oct 22 20:57:03 UTC 2025","61882","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_4_0_modify_name","
    Test Case: NAF-55
    As a registered user I can view and update my profile settings
    Scenario: Modify Name
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter name
    5. Click on ""Save"" button
    "
"passed","Wed Oct 22 20:55:24 UTC 2025","Wed Oct 22 20:55:49 UTC 2025","24871","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_2_0_update_bio","
    Test Case: NAF-37, NAF-39
    As a registered user I can view and update my bio
    Scenario: Update Bio
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Edit"" button
    4. Enter bio content
    5. Click on ""Save"" button
    6. Verify bio content is updated
    
    Expected Result: Bio content is updated
    "
"passed","Wed Oct 22 21:01:10 UTC 2025","Wed Oct 22 21:01:47 UTC 2025","37182","tests.android","test_3_Account_Setup","TestPersonInformationManagement","","","test_NAF_3_5_0_add_kids","
    Test Case: NAF-42
    As a registered user I can add my kids info in my profile page
    Scenario: Add Kids
    
    Steps:
    1. Open the app, assume the user is logged in
    2. Go to ""My Profile"" button
    3. Click on ""Add a child"" button
    4. Enter child's name
    5. Enter child's age
    6. Click on ""Save"" button
    7. Verify child's info is added
    "
"passed","Wed Oct 22 20:46:31 UTC 2025","Wed Oct 22 20:46:47 UTC 2025","16322","tests.android","test_2_Authentication","TestAuthentication","","","test_NAF_2_3_0_successful_password_reset_request","
    Test Case: NAF-16
    As a user I want to reset my password if I forget it
    Scenario: Successful Password Reset Request
    
    Steps:
    1. Open the app, Go to the Login page
    2. Click the 'forgot password?' link
    3. Enter a valid registered email
    4. Click 'Submit' button
    "
