"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web CMS Testing","7.0.0 CMS Authentication","7.4.0 User with the admin role, can have access to profile page and edit profile information","0","0","1","0","0"
"Mobile App Testing-Android","3.0.0 Account Setup","3.3.0 As a registered user I can view and update profile image","0","0","0","1","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.2.0 Mark Notification as Read","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.2.0 View Programs List","0","0","1","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.2.0 User with the admin role, can login to content management platform with the same credentials as for the mob app","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.1.0 Navigate to Programs Section","0","0","1","0","0"
"Web CMS Testing","7.0.0 CMS Authentication","7.3.0 User with the admin role, can log out from the CMS","0","0","1","0","0"
"Web CMS Testing","9.0.0 Programs Management","9.3.0 Search Programs","0","0","1","0","0"
"Mobile App Testing-Android","2.0.0 Authentication","2.2.0 As a user, I want to log in with my email and password","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.1.0 Verify Notifications Page Load","0","0","1","0","0"
"Mobile App Testing-Android","3.0.0 Account Setup","3.2.0 As a registered user I can view and update my bio","0","0","1","0","0"
"Web CMS Testing","11.0.0 CMS Notifications","11.3.0 Switch Between Tabs","0","0","1","0","0"
